,1,2,3,4,5,6,7,9,10,11,12,13,15,16,17,18,19,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,101,103,104,105,106,107,108,109,110,111,112,113,115,116,117,118,119,120,121,122,123,125,126,127,128,129,131,132,133,134,135,136,137,138,139,140,141,143,144,145,146,147,148,149,150,153,154,155,156,157,158,159,160,162,164,165,166,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,185,186,187,188,189,190,192,193,196
11,23.5767,24.7157,114.4125,280.6504,24.0459,25.9772,14.4935,23.9595,14.2039,0.0,111.6568,250.0949,23.0816,190.8139,279.3403,39.192,19.096,23.37,128.5392,264.2887,9.5314,279.4819,22.9505,270.345,2.1859,14.0532,282.753,39.4606,21.9995,26.2031,16.352,247.8669,55.4997,114.8514,34.8012,245.0465,114.2518,277.3515,309.1778,115.8046,23.6916,27.4313,101.9043,117.0651,23.7678,21.4563,19.9769,19.3929,23.3684,20.8388,22.8002,21.1765,24.7176,27.0984,22.1894,23.3232,18.608,20.1647,14.5989,45.9209,57.6642,51.1742,23.4219,22.7058,14.1191,36.4088,20.6388,17.4072,20.0247,20.054,25.2566,15.0595,19.0695,28.1723,22.2104,24.4312,26.9716,18.3612,16.6316,5.3087,22.4705,11.8134,14.8507,16.6755,12.7392,25.2771,24.1925,10.5578,16.1554,26.5719,31.1997,15.1129,20.1909,25.3554,22.607,10.2023,24.6961,24.4089,16.8126,19.0238,15.4154,17.7043,16.7077,11.9133,279.8215,10.4127,15.5336,12.4748,115.6348,30.9829,28.9979,6.7511,245.906,116.5387,32.967,22.2879,2.8394,38.1725,136.8695,15.9354,6.9765,21.7325,14.6287,35.8815,21.7997
12,130.015,132.36,4.1097,174.7773,130.8289,132.765,122.6929,129.8834,123.9711,111.6568,0.0,140.6946,131.1439,81.7002,173.4013,76.5301,128.9983,131.1166,17.3497,157.2524,104.1595,174.3451,125.5082,167.4183,113.0983,120.1698,176.7585,77.4697,128.9519,136.3795,123.9575,138.7251,60.687,3.1962,80.1015,135.8394,5.9983,171.1589,240.3295,5.7307,130.9828,135.421,9.827,7.2436,130.6817,129.6359,128.1434,127.3683,127.4867,127.9194,130.3911,129.795,135.8011,133.5562,130.5829,132.7056,126.1274,126.1135,122.2525,151.8536,124.8763,127.2388,131.077,126.4056,123.6428,141.6745,128.7665,123.1454,129.7621,124.9512,135.4921,124.9769,129.5632,136.0118,132.1436,130.5996,133.1663,128.4883,122.5049,110.391,124.8406,121.5823,121.9381,126.4351,118.04,130.8998,132.4439,117.8201,127.4086,132.3902,137.6306,123.4916,130.2366,135.3709,131.3441,119.8308,131.0844,129.8041,126.1546,128.1008,121.1309,128.5107,124.8305,121.2944,174.2257,122.0424,122.7513,123.0051,97.4198,136.8505,131.7681,115.4799,136.5074,4.9033,138.6486,129.6136,109.8721,76.1008,25.7057,97.1601,105.46,130.8001,112.3406,80.0867,133.3463
13,265.5257,268.1304,137.2754,40.8215,266.3939,268.1769,259.3889,265.2278,261.0932,250.0949,140.6946,0.0,267.162,59.3356,39.4778,217.0616,265.9007,267.0156,125.9273,22.9948,243.4738,42.8138,260.2566,45.7589,251.7599,256.5347,42.1231,218.0827,264.7306,273.0845,260.3678,2.9723,201.3815,137.6454,220.464,5.2027,139.9008,36.8264,250.1867,135.7209,266.7211,271.1233,150.416,134.3101,266.3058,265.8033,264.4118,263.6262,262.4787,263.8275,266.2848,266.1194,273.1294,268.7802,266.7678,269.1796,262.3291,261.8177,258.8256,285.5007,247.2101,252.5741,266.9442,261.3893,260.6973,275.7623,264.9761,259.0869,266.5515,260.4563,272.2672,262.0985,266.7251,271.6114,268.9064,265.9653,268.3232,265.5182,258.5519,248.0057,259.6185,258.8515,258.3797,263.4129,254.4584,266.0477,268.4495,254.7253,265.1089,267.4748,272.5253,260.179,267.1446,272.0292,267.6178,257.1726,266.4866,264.9757,262.9864,264.7112,257.2846,265.8857,261.332,258.4577,41.2385,260.4795,259.1536,260.4777,181.6789,271.5781,265.8454,254.635,4.1957,135.8679,273.1553,265.4704,248.6488,216.448,115.0313,236.6375,244.422,267.2435,252.433,220.5798,271.2182
15,2.9159,1.6835,133.5707,296.0368,2.3639,3.3448,8.899,3.7375,8.9582,23.0816,131.1439,267.162,0.0,208.1893,294.7601,61.8399,5.107,0.6219,148.3268,280.2298,32.6117,294.6071,8.7785,284.7956,22.9797,10.9975,298.1714,62.2732,2.6248,6.7527,7.3137,264.8189,77.7208,134.3323,57.4335,262.0465,134.2537,292.88,332.0611,134.8618,1.4651,4.45,121.5726,136.0261,2.1119,1.6376,3.1713,3.8796,6.5403,3.3431,1.04,2.0126,9.1793,4.4801,0.9974,3.0335,5.0384,5.4481,9.1273,22.8508,48.45,40.0226,0.7918,7.3038,8.9781,13.4792,2.5009,8.0856,4.2954,6.9666,6.3133,8.2478,6.4193,5.155,4.2818,3.3927,4.6022,5.9477,8.6679,21.8126,9.1656,11.2719,9.2992,6.7206,13.1266,4.3841,1.3014,13.7557,10.0478,4.7172,8.1953,8.1574,4.8832,5.7499,1.389,12.9017,3.1266,4.5626,6.3484,4.1937,10.0173,7.8542,6.6061,11.1883,295.1108,16.4852,8.4763,10.9819,119.4153,8.1801,9.2439,24.3158,262.9953,135.9551,10.0885,1.8184,25.8343,60.5442,155.7565,38.7865,29.993,2.2676,33.8915,58.6645,11.3636
16,206.6241,209.1965,78.1618,93.6182,207.4864,209.2975,200.3064,206.3506,201.9601,190.8139,81.7002,59.3356,208.1893,0.0,92.2238,157.8409,206.8035,208.06,67.8414,75.7483,184.1419,93.5687,201.4564,88.3525,192.4636,197.4896,95.5294,158.9004,205.787,214.0263,201.3251,57.2113,142.3221,78.7172,161.1942,54.3533,81.353,89.8874,240.8989,76.5815,207.7885,212.2069,91.3324,75.1455,207.3892,206.8061,205.3972,204.6114,203.6478,204.8629,207.3282,207.1007,213.989,209.9316,207.7702,210.1462,203.3193,202.8777,199.758,226.9715,190.6755,195.4718,207.993,202.5563,201.5719,217.1224,205.971,200.1058,207.4703,201.5418,213.198,202.9672,207.5962,212.7119,209.833,207.087,209.4838,206.404,199.5547,188.7971,200.8116,199.6972,199.3285,204.3018,195.4016,207.2032,209.4815,195.6076,205.9139,208.6444,213.7399,201.0992,208.0488,212.9757,208.6094,198.0072,207.6041,206.1245,203.8932,205.6504,198.2697,206.7294,202.279,199.3154,93.2053,201.2069,200.1093,201.3022,131.8672,212.8172,207.1729,195.3115,55.1407,76.9379,214.4358,206.5172,189.343,157.1778,56.2258,177.3021,185.1037,208.2106,193.1129,161.3433,212.0111
17,292.8878,295.585,169.689,1.4087,293.77,295.4482,287.4644,292.5115,289.3828,279.3403,173.4013,39.4778,294.7601,92.2238,0.0,248.6154,293.999,294.5536,160.0607,17.1153,273.4373,4.8822,287.3345,18.2048,281.1381,284.4761,3.4136,249.8138,292.2411,300.9744,288.2746,39.7766,233.6256,170.5187,251.7139,42.3924,173.4319,2.6529,284.6888,168.0668,294.1805,298.4982,182.8304,166.5849,293.7133,293.5002,292.1828,291.4032,289.6349,291.4184,293.8311,293.8955,301.3838,295.9481,294.4598,296.9935,290.0959,289.3359,286.8428,311.6459,269.9661,276.1573,294.4667,288.5598,288.9538,302.2692,292.7075,286.7688,294.577,287.8967,300.2078,290.3741,294.9619,298.9261,296.8849,293.248,295.465,293.6945,286.2964,276.7657,286.7214,287.2569,286.3332,291.5882,282.4603,293.2213,296.022,282.9845,293.691,294.5945,299.472,288.2382,295.2291,299.9068,295.345,285.6434,293.7793,292.1782,291.0853,292.6629,285.104,294.2595,289.2734,286.8077,2.2133,289.5991,287.0743,288.9806,198.4253,298.4582,292.5135,284.3499,42.6918,168.747,299.9036,293.0098,278.1457,247.7138,148.2586,266.8112,274.1035,295.068,283.0636,252.0344,299.8359
18,61.7763,63.3903,79.8138,249.9676,62.3981,64.406,52.9564,61.9714,53.2302,39.192,76.5301,217.0616,61.8399,157.8409,248.6154,0.0,58.2333,62.0361,92.5337,232.8691,30.0954,249.2115,59.3143,241.2039,39.9712,51.4368,252.0065,2.0718,60.3277,65.3951,54.6613,215.0229,16.7384,79.6524,4.4066,212.1502,78.1448,246.4731,273.1767,81.3522,62.2139,66.2772,66.7312,82.7539,62.1571,60.2033,58.6708,57.9972,60.5429,59.1637,61.3949,60.0506,63.7697,65.4521,61.0238,62.42,57.0014,57.9668,52.8211,84.5909,80.3028,77.2976,62.0594,59.6254,53.0712,74.6711,59.3423,54.9023,59.145,57.3468,64.4486,54.1423,58.2613,66.9938,61.3776,62.5646,65.2254,57.5238,54.1294,40.1249,58.6883,50.772,52.8176,55.7513,49.4846,63.2334,63.0364,48.2211,55.2438,64.6673,69.6806,53.6843,59.3573,64.5422,61.5475,49.0454,62.927,62.2248,55.7841,57.9751,52.7161,56.8867,55.2525,50.7357,249.2946,48.7799,53.6136,51.639,110.1423,69.2702,65.9505,41.0891,212.8684,81.4136,71.258,60.7693,36.7356,2.8933,102.2276,23.2639,32.2487,60.7385,36.2085,3.6077,60.5033
19,7.3508,6.7127,131.5413,295.2857,7.1889,8.4499,6.5353,8.149,5.0931,19.096,128.9983,265.9007,5.107,206.8035,293.999,58.2333,0.0,5.6614,146.0917,279.3121,28.5332,293.9299,11.7374,284.3029,18.6838,9.5828,297.412,58.5463,6.0274,7.3979,5.9487,263.5921,74.3828,132.1926,53.8325,260.8039,131.9272,292.087,327.5311,132.8682,6.3915,8.7399,119.3514,134.0662,6.8787,4.0254,3.6642,4.0269,10.0594,5.5581,5.5114,3.2292,7.4883,9.5745,4.1235,4.2523,4.9887,7.2204,7.1701,27.0994,52.2456,44.0438,5.8009,10.3893,5.3699,18.2709,3.8299,8.1454,0.9569,8.6881,6.496,4.1226,1.6633,9.4959,3.1884,8.1049,9.7091,0.8588,8.3065,18.7627,11.8704,7.558,7.7373,2.5714,11.5445,9.1694,5.7463,11.2229,4.9469,9.7746,12.995,5.7617,1.2462,6.4281,4.0284,9.3278,8.0094,8.9713,2.9176,1.9389,9.1885,2.7947,4.9088,7.746,294.3871,11.5063,7.0675,6.6256,121.2244,13.1472,14.0636,19.5379,261.7255,133.8397,14.974,5.6151,21.7249,57.1009,153.8424,35.0106,26.0724,3.0056,28.9688,54.9593,7.7255
21,2.3445,1.3555,133.5279,295.8291,1.7459,2.8299,9.0797,3.1512,9.3113,23.37,131.1166,267.0156,0.6219,208.06,294.5536,62.0361,5.6614,0.0,148.3101,280.0419,32.9014,294.3909,8.3028,284.5586,23.3186,11.025,297.9647,62.4885,2.3176,7.1893,7.4232,264.6683,77.8709,134.3039,57.6304,261.8979,134.2504,292.6772,332.4111,134.8141,0.8458,4.3455,121.5564,135.9739,1.5045,1.9418,3.3959,4.039,6.0253,3.2085,0.7322,2.4911,9.7416,3.9825,1.54,3.5956,5.1044,5.2182,9.255,22.6011,47.8509,39.4139,0.1723,6.8318,9.3009,13.1074,2.7312,7.9924,4.8765,6.6852,6.8022,8.6425,7.0126,5.0093,4.8956,2.777,4.0626,6.492,8.6124,21.9687,8.7154,11.5769,9.3759,7.1502,13.1472,3.7624,1.493,13.8875,10.6079,4.1263,7.8449,8.3603,5.4878,6.2136,2.0091,13.1737,2.5047,3.9663,6.7218,4.6196,9.9903,8.4267,6.7838,11.46,294.8999,16.9715,8.5546,11.3744,118.9529,7.7578,8.624,24.7445,262.85,135.9233,9.6941,1.5465,26.1375,60.7154,155.6967,39.0214,30.2598,2.8791,34.3507,58.8775,11.9823
22,147.2412,149.5621,15.9101,161.4537,148.0497,149.994,139.8242,147.1218,141.0474,128.5392,17.3497,125.9273,148.3268,67.8414,160.0607,92.5337,146.0917,148.3101,0.0,143.5604,120.8231,161.3255,142.7889,155.3287,129.9237,137.3415,163.3701,93.3201,146.1592,153.4816,141.1168,124.1181,76.2496,14.2462,96.2892,121.216,14.395,157.7288,228.959,15.2086,148.1898,152.6235,26.7543,14.7469,147.8982,146.8078,145.3084,144.5359,144.7511,145.1178,147.5862,146.9513,152.8223,150.797,147.7514,149.8407,143.3028,143.3317,139.3984,169.1544,141.824,144.3885,148.2732,143.6721,140.7287,158.9672,145.936,140.3498,146.8675,142.1863,152.5876,142.0509,146.6215,153.2216,149.2473,147.8353,150.4121,145.5666,139.7014,127.4311,142.1206,138.6442,139.0984,143.5246,135.2109,148.1496,149.6256,134.9382,144.3904,149.6418,154.8865,140.6222,147.3267,152.4805,148.5025,136.8867,148.3168,147.0541,143.2626,145.2303,138.3206,145.541,141.9785,138.3715,161.0206,138.8948,139.9139,140.0339,108.8687,154.1171,149.0718,132.1591,121.7688,12.8437,155.9249,146.8133,126.6784,92.3244,12.8639,113.7903,122.2304,147.9422,128.6111,96.1265,150.2842
