,1,2,5,6,9,15,21,33,34,45,46,101,103,104,105,106,107,108,109,110,111,112,113,115,121,122,126,131,134,135,136,137,147,148,153,154,157,158,160,162,177,183,190
45,1.5705,1.4095,0.9002,2.3031,2.3414,1.4651,0.8458,2.0309,7.8836,0.0,4.4453,0.6765,2.4829,3.7604,4.2987,5.2999,3.1134,0.9437,3.1721,10.5509,3.4537,2.312,4.414,5.2127,0.674,6.1619,3.1358,7.5491,5.0335,5.7410000000000005,1.9319,3.4447,2.9210000000000003,2.1103,3.3898,7.5194,6.9387,2.8539,1.6713,3.1397,7.3161,1.4463,3.6987
46,5.6126,3.0614,4.7348,3.1736,6.0167,4.45,4.3455,6.4739,5.6678,4.4453,0.0,4.8181,6.0798,7.6197,8.3264,9.024,7.5082,5.0543,6.2577,9.2953,3.1968,5.2598,4.7345,9.4444,4.3649,10.0504,6.9502,5.9002,0.7567,6.3714,5.2901,3.7234,5.5512,3.2464,4.5465,4.4228,5.2092,4.8495,4.7542,6.4693,4.9134,5.8116,5.7994
101,0.9186,1.9083,0.3168,2.249,1.6654,2.1119,1.5045,1.8316,8.5377,0.6765,4.8181,0.0,2.8825,3.9771,4.4175,4.6519,2.9936,1.3698,3.6503,11.2272,3.3341,2.8811,5.0886,5.19,1.3326,5.542000000000001,3.4059,8.2182,5.3455,6.3937,1.2891,3.2214,2.3212,2.7645,3.0044,7.5255,7.6028,3.4975,1.1343,2.4652,7.2170000000000005,1.5105,4.2969
103,3.3302,3.2645,3.1978,4.7330000000000005,4.1409,1.6376,1.9418,2.1787,7.6392,2.4829,6.0798,2.8825,0.0,1.5425,2.2822,6.3924,2.2849,1.5468,0.8646,9.4904,5.8913,0.9645,3.6332,3.5121,2.025,6.9492,0.8804,7.0371,6.7906,4.3046,4.0819,5.9211,5.1474,2.8679,5.8532,9.7802,6.5805,1.8567,4.0165,4.9742,9.6968,1.6114,1.9713
104,4.1283,4.7478,4.2867,6.0633,4.8243,3.1713,3.3959,2.5754,8.8247,3.7604,7.6197,3.9771,1.5425,0.0,0.7858,6.4055,1.8996,2.8381,1.7131,10.2245,7.2131,2.4485,4.8145,2.0879,3.4451,6.7301,0.6715,8.1315,8.326,5.0517,4.9822,7.1731,6.0204,4.4093,6.9714,11.2266,7.7547,3.2178,5.0591,5.5851,11.0735,2.4754,2.9112
105,4.4184,5.3939,4.7134,6.5894,5.0296,3.8796,4.039,2.7988,9.594,4.2987,8.3264,4.4175,2.2822,0.7858,0.0,6.2243,1.8359,3.4186,2.4959,10.8882,7.7228,3.2155,5.591,1.3078,4.0672,6.426,1.4032,8.8872,9.0205,5.7525,5.2918,7.6387,6.2901,5.1444,7.3597,11.8126,8.5238,4.0025,5.4399,5.7294,11.603,2.9126,3.676
106,3.7344,6.4989,4.5626,5.8713,3.0755,6.5403,6.0253,4.2161,13.1835,5.2999,9.024,4.6519,6.3924,6.4055,6.2243,0.0,4.5058,5.5244,7.244,15.6957,6.3167,6.9510000000000005,9.5666,5.9375,5.8692,1.0924,6.2696,12.8272,9.354,10.6216,3.7603,5.8467,3.5864,7.4098,4.9971,10.1626,12.231,7.8015,4.2913,2.5629,9.3669,4.9071,8.3131
107,2.7471,4.4484,3.2429,5.2426,3.2558,3.3431,3.2085,1.1701,9.8845,3.1134,7.5082,2.9936,2.2849,1.8996,1.8359,4.5058,0.0,2.4776,3.0091,11.7468,6.3108,3.1572,5.9037,2.2309,3.1592,4.8646,1.8466,9.311,8.1295,6.5439,3.6155,6.1424,4.5525,4.6222,5.7441,10.519,8.8348,4.0926,3.8573,3.9132,10.1806,1.6967,4.2282
108,2.002,2.0176,1.6777,3.2335,2.8402,1.04,0.7322,1.6130000000000002,7.7911,0.9437,5.0543,1.3698,1.5468,2.8381,3.4186,5.5244,2.4776,0.0,2.2822,10.1747,4.3889,1.55,4.0429,4.4216,0.6894,6.2682,2.2007,7.3511,5.7023,5.1772,2.6315,4.3883,3.6833,2.1961,4.3077,8.3996,6.7899,2.2957,2.498,3.6823,8.237,0.8217,2.9796
109,4.1674,3.6943,3.9598,5.3196,4.9874,2.0126,2.4911,3.0367,7.1241,3.1721,6.2577,3.6503,0.8646,1.7131,2.4959,7.244,3.0091,2.2822,0.0,8.7406,6.4686,1.0343,3.1062,3.8009,2.6141,7.7733,1.2487,6.4554,6.996,3.5357,4.8885,6.5516,5.9501,3.0161,6.5615,10.1887,6.0551,1.5544,4.7802,5.8246,10.1926,2.4686,1.2471
110,12.0853,9.7577,11.4224,11.347999999999999,12.889000000000001,9.1793,9.7416,11.5599,3.7723,10.5509,9.2953,11.2272,9.4904,10.2245,10.8882,15.6957,11.7468,10.1747,8.7406,0.0,12.033,8.7747,6.1477,12.1072,9.9092,16.3802,9.9586,3.3974,9.7832,5.2057,12.439,12.4568,13.2908,8.5736,13.0285,13.3228,4.0936,7.8962,12.049000000000001,13.6884,14.079,10.8091,7.5228
111,3.6924,2.8782,3.0686,1.1584,3.6785,4.4801,3.9825,5.1408,8.6276,3.4537,3.1968,3.3341,5.8913,7.2131,7.7228,6.3167,6.3108,4.3889,6.4686,12.033,0.0,5.4765,6.4777,8.5218,3.875,7.3995,6.5882,8.6741,3.2525,8.1141,2.9819,0.536,2.7338,4.0109,1.4131,4.2438,7.9775,5.6187,2.5483,3.8072,3.8845,4.8137,6.6316
112,3.5494,2.6681,3.1709,4.3378,4.3876,0.9974,1.54,2.7858,6.7276,2.312,5.2598,2.8811,0.9645,2.4485,3.2155,6.9510000000000005,3.1572,1.55,1.0343,8.7747,5.4765,0.0,2.761,4.4685,1.6857,7.6055,1.8169,6.1651,5.9905,3.6748,4.1644,5.5889,5.2013,2.0139,5.6642,9.1545,5.678,0.9369,3.9754,5.2306,9.1675,2.0443,1.4296
113,5.9381,3.7995,5.2977,5.5598,6.7459,3.0335,3.5956,5.5082,4.0226,4.414,4.7345,5.0886,3.6332,4.8145,5.591,9.5666,5.9037,4.0429,3.1062,6.1477,6.4777,2.761,0.0,6.8988,3.7642,10.296,4.3295,3.4074,5.4677,1.6748,6.3245,6.7944,7.2301,2.5673,7.1959,9.1419,2.9563,1.8282,5.9687,7.5536,9.5029,4.7254,1.9361
115,4.9744,6.4379,5.4548,7.431,5.4271,5.0384,5.1044,3.3935,10.9007,5.2127,9.4444,5.19,3.5121,2.0879,1.3078,5.9375,2.2309,4.4216,3.8009,12.1072,8.5218,4.4685,6.8988,0.0,5.1032,5.9178,2.6556,10.1879,10.1137,7.0174,5.8377,8.3689,6.7413,6.33,7.9722,12.7043,9.8306,5.2901,6.0881,6.0018,12.3998,3.7679,4.9825
